Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;Coordonnée en X (L93);Coordonnée en Y (L93);geo_shape;geo_point_2d
2001067;1-3 RUE DE LA POTERNE DES PEUPLIERS;75013;Paris;2008;RIVP;33;0;0;0;33;construction neuve;;13;logement familial;652480.338;6858048.5454;"{""coordinates"": [2.352799545107363, 48.82074811006386], ""type"": ""Point""}";48.82074811006386, 2.352799545107363
2001081;37-39, RUE DES ORTEAUX;75020;Paris;2008;ELOGIE SIEMP;10;0;10;0;0;acquisition réhabilitation;;20;logement familial;656095.618;6862017.5792;"{""coordinates"": [2.401626746522236, 48.856698359698726], ""type"": ""Point""}";48.856698359698726, 2.401626746522236
2001093;9, RUE DE CRIMEE;75019;Paris;2008;BATIGERE;13;0;7;0;6;acquisition conventionnement;;19;logement familial;655401.597;6864317.7324;"{""coordinates"": [2.3919268926592285, 48.87733564012103], ""type"": ""Point""}";48.87733564012103, 2.3919268926592285
2001100;5, RUE D'AUBERVILLIERS;75018;Paris;2008;ELOGIE SIEMP;24;24;0;0;0;construction neuve;;18;résidence sociale pour démunis;653431.414;6865163.7661;"{""coordinates"": [2.364972969318953, 48.884804329889455], ""type"": ""Point""}";48.884804329889455, 2.364972969318953
2001101;3-5 RUE NEUVE (EX 72BIS, RUE PHILIPPE DE GIRARD);75018;Paris;2008;ELOGIE SIEMP;13;0;13;0;0;construction neuve;;18;résidence étudiante;653129.0303;6865520.1785;"{""coordinates"": [2.3608103876409077, 48.887987489677776], ""type"": ""Point""}";48.887987489677776, 2.3608103876409077
2001103;14-16, RUE DU MAROC;75019;Paris;2008;PARIS HABITAT;46;0;28;0;18;construction neuve;;19;logement familial;653786.9199;6865333.4403;"{""coordinates"": [2.3698021114163623, 48.88635576956126], ""type"": ""Point""}";48.88635576956126, 2.3698021114163623
2001127;GROUPE COURCELLES  3, AVENUE PAUL ADAM;75017;Paris;2008;PARIS HABITAT;3;0;3;0;0;acquisition réhabilitation;;17;logement familial;648444.479;6865474.6507;"{""coordinates"": [2.296934893208586, 48.887220020076704], ""type"": ""Point""}";48.887220020076704, 2.296934893208586
2001196;5 RUE DES DEUX PONTS;75004;Paris;2008;ELOGIE SIEMP;16;0;16;0;0;acquisition conventionnement;;4;logement familial;652746.7349;6861453.6494;"{""coordinates"": [2.3560494154609133, 48.85139004966324], ""type"": ""Point""}";48.85139004966324, 2.3560494154609133
2001304;53, BD DE ROCHECHOUART;75009;Paris;2009;PARIS HABITAT;11;3;0;8;0;acquisition réhabilitation;;9;logement familial;651697.7849;6864879.3262;"{""coordinates"": [2.341365969572751, 48.88211874027399], ""type"": ""Point""}";48.88211874027399, 2.341365969572751
2001311;11 BIS, RUE CLAUDE TERRASSE;75016;Paris;2009;PARIS HABITAT;12;3;0;9;0;construction neuve;;16;logement familial;649673.857;6864899.9615;"{""coordinates"": [2.3137672325236363, 48.88214930992621], ""type"": ""Point""}";48.88214930992621, 2.3137672325236363
2001336;VERSAILLES 1 RUE FLORENCE BLUMENTHAL;75016;Paris;2009;PARIS HABITAT;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;646842.3615;6861321.7753;"{""coordinates"": [2.2756074780332747, 48.849744040025996], ""type"": ""Point""}";48.849744040025996, 2.2756074780332747
2001343;29, RUE PIERRE FONTAINE;75009;Paris;2009;HENEO;18;18;0;0;0;acquisition réhabilitation;;9;résidence sociale pour démunis;651105.009;6864935.4504;"{""coordinates"": [2.3332769813832184, 48.88257870985528], ""type"": ""Point""}";48.88257870985528, 2.3332769813832184
2001362;8, RUE MARGUERIN;75014;Paris;2009;RIVP;16;2;9;0;5;acquisition réhabilitation;;14;logement familial;650705.3299;6858791.7251;"{""coordinates"": [2.3285396574544324, 48.827298350192514], ""type"": ""Point""}";48.827298350192514, 2.3285396574544324
2001367;383-385, RUE DE VAUGIRARD;75015;Paris;2009;PARIS HABITAT;7;2;5;0;0;acquisition réhabilitation;;15;logement familial;648114.1809;6859733.5295;"{""coordinates"": [2.293131689404595, 48.835564680326804], ""type"": ""Point""}";48.835564680326804, 2.293131689404595
2001378;1 AVENUE DU GENERAL LAPERRINE;75012;Paris;2009;PARIS HABITAT;1;1;0;0;0;acquisition réhabilitation;;12;logement familial;656392.8989;6859445.0939;"{""coordinates"": [2.405942002345478, 48.83358406972627], ""type"": ""Point""}";48.83358406972627, 2.405942002345478
2001396;120, RUE DE TURENNE;75003;Paris;2009;PARIS HABITAT;15;3;12;0;0;acquisition réhabilitation;;3;logement familial;653399.1909;6862802.3361;"{""coordinates"": [2.364792617515057, 48.8635661899334], ""type"": ""Point""}";48.8635661899334, 2.364792617515057
2001436;114 BD DE LA VILLETTE;75019;Paris;2009;ELOGIE SIEMP;4;0;0;0;4;construction neuve;;19;logement familial;653894.172;6864332.355;"{""coordinates"": [2.3713733025874686, 48.87736098004502], ""type"": ""Point""}";48.87736098004502, 2.3713733025874686
2001456;48, RUE LEON;75018;Paris;2009;TOIT ET JOIE;22;4;14;0;4;acquisition conventionnement;;18;logement familial;652590.893;6865753.3557;"{""coordinates"": [2.3534459816074156, 48.890044970125366], ""type"": ""Point""}";48.890044970125366, 2.3534459816074156
2001464;62-64, RUE PLANCHAT;75020;Paris;2009;TOIT ET JOIE;36;0;15;0;21;acquisition conventionnement;;20;logement familial;655700.817;6861988.6395;"{""coordinates"": [2.3962492242840163, 48.85641108011102], ""type"": ""Point""}";48.85641108011102, 2.3962492242840163
2001501;12 RUE DE BELLEVILLE;75020;Paris;2009;ELOGIE SIEMP;2;0;2;0;0;acquisition réhabilitation;;20;logement familial;654418.74;6863780.0296;"{""coordinates"": [2.378584454493893, 48.87243138036096], ""type"": ""Point""}";48.87243138036096, 2.378584454493893
2001506;21 RUE PIXERECOURT;75020;Paris;2009;ELOGIE SIEMP;4;0;2;0;2;acquisition réhabilitation;;20;logement familial;655656.6919;6863636.339;"{""coordinates"": [2.395475950353264, 48.87122561989131], ""type"": ""Point""}";48.87122561989131, 2.395475950353264
2001570;13, RUE ERNEST LACOSTE;75012;Paris;2010;ELOGIE SIEMP;14;2;8;0;4;acquisition réhabilitation;;12;logement familial;656270.388;6859601.0052;"{""coordinates"": [2.4042570796215443, 48.83497790016054], ""type"": ""Point""}";48.83497790016054, 2.4042570796215443
2001578;54-56, RUE DE MENILMONTANT;75020;Paris;2010;EMMAUS HABITAT;14;14;0;0;0;construction neuve;;20;foyer pour jeunes travailleurs ou résidence pour jeunes actifs;655150.5349;6863305.1361;"{""coordinates"": [2.3886108403315784, 48.86821212021717], ""type"": ""Point""}";48.86821212021717, 2.3886108403315784
2001621;GROUPE CARMES 47 TER, BOULEVARD SAINT GERMAIN;75005;Paris;2010;PARIS HABITAT;3;0;3;0;0;acquisition réhabilitation;;5;logement familial;652187.5279;6861280.7035;"{""coordinates"": [2.348448533342449, 48.84979350037848], ""type"": ""Point""}";48.84979350037848, 2.348448533342449
2001624;GROUPE BERTHIER 5, RUE DE L'ABBE ROUSSELOT;75017;Paris;2010;PARIS HABITAT;1;0;1;0;0;acquisition réhabilitation;;17;logement familial;648713.688;6865708.9546;"{""coordinates"": [2.30057761534334, 48.8893485202739], ""type"": ""Point""}";48.8893485202739, 2.30057761534334
2001626;GROUPE MARIE LAURENT 1, ALLEE MARIE LAURENT;75020;Paris;2010;PARIS HABITAT;2;0;2;0;0;acquisition réhabilitation;;20;logement familial;656174.6999;6861249.0347;"{""coordinates"": [2.402783733573517, 48.84979223975668], ""type"": ""Point""}";48.84979223975668, 2.402783733573517
2001657;GROUPE PORTE DE MONTREUIL 15, RUE MENDELSSOHN ET 1 RUE CHARLES ET ROBERT;75020;Paris;2010;PARIS HABITAT;2;0;2;0;0;acquisition réhabilitation;;20;logement familial;656806.7587;6861584.5332;"{""coordinates"": [2.4113625244899235, 48.85285205973657], ""type"": ""Point""}";48.85285205973657, 2.4113625244899235
2001680;129, RUE DU FAUBOURG DU TEMPLE (COUR DE LA GRACE DE DIEU);75010;Paris;2010;IMM 3F;90;24;51;0;15;construction neuve;;10;logement familial;654196.9359;6863693.5055;"{""coordinates"": [2.3755700226183922, 48.87163755036085], ""type"": ""Point""}";48.87163755036085, 2.3755700226183922
2001684;43 BIS, RUE DESNOUETTES;75015;Paris;2010;PARIS HABITAT;12;4;8;0;0;construction neuve;;15;logement familial;647766.41;6859774.0122;"{""coordinates"": [2.288389105640587, 48.835900649852015], ""type"": ""Point""}";48.835900649852015, 2.288389105640587
2001686;78 RUE DE MAUBEUGE;75009;Paris;2010;ELOGIE SIEMP;12;3;6;0;3;acquisition réhabilitation;;9;logement familial;652182.787;6864544.871;"{""coordinates"": [2.3480166605852446, 48.87914728040935], ""type"": ""Point""}";48.87914728040935, 2.3480166605852446
2001689;66, RUE DES PLANTES;75014;Paris;2010;3F RES;98;0;98;0;0;construction neuve;;14;établissement d'hébergement pour personnes âgées dépendantes;650088.3339;6858750.8427;"{""coordinates"": [2.320140541420769, 48.826883209969395], ""type"": ""Point""}";48.826883209969395, 2.320140541420769
2001748;5 BIS RUE STENDHAL;75020;Paris;2010;RIVP;32;0;24;0;8;construction neuve;;20;logement familial;656160.329;6862478.8829;"{""coordinates"": [2.4024610836290257, 48.86085124015047], ""type"": ""Point""}";48.86085124015047, 2.4024610836290257
2001773;65 RUE DE LAGNY;75020;Paris;2010;ELOGIE SIEMP;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;656423.3;6861164.8859;"{""coordinates"": [2.406179952981697, 48.84905234986406], ""type"": ""Point""}";48.84905234986406, 2.406179952981697
2001812;7A, BD DE LA CHAPELLE;75010;Paris;2010;SABLIERE;132;73;59;0;0;acquisition réhabilitation;;10;foyer pour jeunes travailleurs ou résidence pour jeunes actifs;653313.9799;6865083.2912;"{""coordinates"": [2.363380509643902, 48.884072140266724], ""type"": ""Point""}";48.884072140266724, 2.363380509643902
2001815;ZAC PARIS RIVE GAUCHE LOT M10C;75013;Paris;2010;RIVP;129;0;129;0;0;construction neuve;;13;résidence étudiante;654406.1826;6858630.4038;"{""coordinates"": [2.378965415438785, 48.8261199601302], ""type"": ""Point""}";48.8261199601302, 2.378965415438785
2001835;26, RUE LINOIS TOUR H15;75015;Paris;2011;BATIGERE;192;0;96;0;96;acquisition réhabilitation;;15;logement familial;647402.8569;6861127.8837;"{""coordinates"": [2.283269050479073, 48.84804639035296], ""type"": ""Point""}";48.84804639035296, 2.283269050479073
2001850;228 RUE LECOURBE;75015;Paris;2011;ELOGIE SIEMP;2;0;2;0;0;acquisition réhabilitation;;15;logement familial;648136.6189;6860203.859;"{""coordinates"": [2.293380019565151, 48.83979616033728], ""type"": ""Point""}";48.83979616033728, 2.293380019565151
2001864;30-32, QUAI DES CELESTINS;75004;Paris;2011;ELOGIE SIEMP;47;47;0;0;0;construction neuve;;4;foyer pour jeunes travailleurs ou résidence pour jeunes actifs;653018.522;6861601.2277;"{""coordinates"": [2.359736763073288, 48.852737089615644], ""type"": ""Point""}";48.852737089615644, 2.359736763073288
2001986;93, BD DU MONTPARNASSE;75006;Paris;2011;RIVP;36;0;36;0;0;construction neuve;;6;résidence étudiante;650641.147;6860529.1535;"{""coordinates"": [2.3274638780207346, 48.84291823005882], ""type"": ""Point""}";48.84291823005882, 2.3274638780207346
2001996;ZAC BOUCICAUT LOT E 87-91, RUE DES CEVENNES 140-144, RUE DE LOURMEL;75015;Paris;2011;RIVP;12;0;12;0;0;construction neuve;;15;foyer pour personnes handicapées;647464.7556;6860327.5123;"{""coordinates"": [2.2842113495849747, 48.84085375005309], ""type"": ""Point""}";48.84085375005309, 2.2842113495849747
2002015;46, RUE CHAMPIONNET;75018;Paris;2011;ELOGIE SIEMP;20;20;0;0;0;construction neuve;;18;résidence sociale pour démunis;652207.4749;6866384.903;"{""coordinates"": [2.3481461543686595, 48.89569587994712], ""type"": ""Point""}";48.89569587994712, 2.3481461543686595
2002036;29, RUE FESSART 34, RUE MELINGUE;75019;Paris;2011;TOIT ET JOIE;3;0;3;0;0;acquisition conventionnement;;19;logement familial;654978.838;6864236.4967;"{""coordinates"": [2.3861716623494367, 48.87657568999542], ""type"": ""Point""}";48.87657568999542, 2.3861716623494367
2002040;95, RUE DE MENILMONTANT;75020;Paris;2011;VILEAL;20;0;0;0;20;acquisition conventionnement;;20;logement familial;655320.311;6863397.8376;"{""coordinates"": [2.390915393337262, 48.86905756963409], ""type"": ""Point""}";48.86905756963409, 2.390915393337262
2002042;15 RUE POPINCOURT;75011;Paris;2012;ADOMA;26;26;0;0;0;construction neuve;;11;résidence sociale issue du plan de traitement des foyers de travailleurs migrants;654297.835;6862137.0816;"{""coordinates"": [2.377112893231443, 48.85764800975252], ""type"": ""Point""}";48.85764800975252, 2.377112893231443
2002045;31-33, RUE DE LA DUEE;75020;Paris;2012;ADOMA;88;88;0;0;0;construction neuve;;20;foyer de travailleurs migrants;655781.921;6863679.33;"{""coordinates"": [2.3971786346192205, 48.87162084022133], ""type"": ""Point""}";48.87162084022133, 2.3971786346192205
2002068;19, RUE DU GROUPE MANOUCHIAN;75020;Paris;2012;ELOGIE SIEMP;6;2;4;0;0;construction neuve;;20;logement familial;656316.525;6863446.8293;"{""coordinates"": [2.404490472218852, 48.86956648014513], ""type"": ""Point""}";48.86956648014513, 2.404490472218852
2002085;91 BIS, RUE DU CHERCHE MIDI;75006;Paris;2012;ELOGIE SIEMP;11;2;6;0;3;construction neuve;;6;logement familial;650260.455;6861006.9224;"{""coordinates"": [2.3222211595830773, 48.84718551985337], ""type"": ""Point""}";48.84718551985337, 2.3222211595830773
2002104;10, RUE DES ROSIERS;75004;Paris;2012;PARIS HABITAT;3;0;3;0;0;acquisition réhabilitation;;4;logement familial;653048.8519;6862062.7147;"{""coordinates"": [2.3600991154124276, 48.85688942002954], ""type"": ""Point""}";48.85688942002954, 2.3600991154124276
2002118;2, RUE CRILLON;75004;Paris;2012;PARIS HABITAT;1;1;0;0;0;acquisition conventionnement;;4;logement familial;653417.333;6861116.5003;"{""coordinates"": [2.365224624324769, 48.84840691012405], ""type"": ""Point""}";48.84840691012405, 2.365224624324769
